site.num,Aster,Polygonum,Hydrangea,Arabidopsis,Achillea,Asclepias,Campanula,Echinacea,Helianthus,Rudbeckia,Salvia,Rose,Dandelion,Violet_pansy,Tulip,Petunia,NEIGHBORHOOD,YardType,lat,long,UTM_lon,UTM_lat,Zone_EW
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPRING HILL,Conventional,42.38745,-71.11588,325831.1884,4694964.331,3
75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,EAST SOMERVILLE,Conventional,42.38225,-71.08197,328608.4568,4694317.939,10
77,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,MAGOUN SQUARE,Conventional,42.39506,-71.10552,326704.9538,4695788.182,6
78,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,WEST SOMERVILLE,Pollinator,42.40175,-71.12829,324849.4026,4696577.773,1
79,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,PROPSECT HILL,Pollinator,42.37726,-71.09646,327401.8923,4693793.167,8
80,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,WARD HILL,Pollinator,42.37492,-71.0994,327153.4169,4693539.303,7
81,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,WINTER HILL,Conventional,42.39197,-71.09467,327589.5397,4695422.978,8
82,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPRING HILL,Pollinator,42.38399,-71.10333,326854.7733,4694554.466,6
83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MAGOUN SQUARE,Conventional,42.39421,-71.10363,326858.1793,4695689.941,6
85,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,MAGOUN SQUARE,Pollinator,42.39549,-71.10228,326972.8152,4695829.325,6
86,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,WINTER HILL,Pollinator,42.38754,-71.09434,327604.5749,4694930.387,9
87,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,EAST SOMERVILLE,Pollinator,42.3849846,-71.0847118,328390.1887,4694627.132,10
88,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,EAST SOMERVILLE,Pollinator,42.3848537,-71.0856981,328308.6381,4694614.59,10
89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,POWDER HOUSE SQUARE,Conventional,42.39737,-71.11132,326233.9403,4696056.543,5
91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WEST SOMERVILLE,Conventional,42.40459,-71.12444,325174.146,4696885.204,1
92,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PROPSECT HILL,Pollinator,42.38485,-71.0986,327246.52,4694640.334,7
