SITE,SPECIES,ALIVE2014,DAMAGE
KIT,aacarob,1,0.693147181
KIT,aacarob,1,0.693147181
KIT,aacarob,1,0.916290732
KIT,comafr,1,0.980841753
KIT,acasen,1,1.427124356
KIT,acasen,0,1.734606938
KIT,aacarob,1,1.673970184
KIT,aacarob,0,1.909542505
KIT,aacarob,1,0.847283575
KIT,comafr,1,0.847283575
KIT,aacarob,1,0.405465108
KIT,comafr,1,1.504077397
KIT,aacarob,1,0.847283575
KIT,comafr,1,0.693147181
KIT,aacarob,1,0
KIT,aacarob,1,0
KIT,comtro,1,0.847283575
KIT,aacarob,1,1.299292075
KIT,ormtri,1,1.04144211
KIT,ormtri,1,1.252762968
KIT,ormtri,1,0.847283575
KIT,ormtri,1,1.526056303
KIT,aacarob,1,0.154179251
KIT,comafr,1,1.673970184
KIT,acasen,1,0.606117622
KIT,acasen,1,0.606117622
KIT,acasen,1,0.693147181
KIT,acasen,1,0.606117622
KIT,acasen,1,0.510845624
KIT,sclbir,1,0
KIT,acasen,1,0.287657072
KIT,acasen,1,0.287657072
KIT,acasen,1,0.693147181
KIT,acasen,1,0.510845624
KIT,acanil,0,2.014903021
KIT,acanil,1,1.871802177
KIT,acanil,1,1.540452184
KIT,aacarob,1,1.252762968
KIT,aacarob,1,1.343726051
KIT,aacarob,1,0.773205273
KIT,grebic,1,1.704748092
KIT,balaeg,1,1.540452184
KIT,aacarob,1,0.980841753
KIT,aacarob,1,1.299292075
KIT,aacarob,0,1.791759469
KIT,aacarob,1,1.252762968
KIT,acager,0,1.763582878
KIT,acager,0,1.427124356
KIT,acager,0,1.427124356
KIT,acager,0,1.280933845
KIT,acager,1,0.606117622
KIT,ormtri,0,1.945910149
KIT,acager,1,0.287657072
KIT,acager,0,0
KIT,acager,1,0.773205273
KIT,acager,1,0.405465108
KIT,acager,1,0
KIT,acager,1,0.510845624
KIT,ormtri,1,0.693147181
KIT,acager,1,0.405465108
KIT,acager,1,0.405465108
KIT,acager,1,0
KIT,acager,1,0
KIT,acager,1,0.154179251
KIT,acager,0,2.079441542
KIT,acager,1,0.606117622
KIT,acager,1,0.606117622
KIT,acager,1,0.980841753
KIT,acager,1,0
KIT,acager,0,1.223775432
KIT,acager,1,0
KIT,acager,1,0.773205273
KIT,acager,1,1.466329376
KIT,acager,1,0.980841753
KIT,acager,1,0.606117622
KIT,acager,1,0
KIT,acager,0,1.098612289
KIT,acager,1,0.405465108
KIT,acager,1,0
KIT,acager,1,0.287657072
MUS,acasen,0,0.773205273
MUS,aacarob,1,0.980841753
MUS,acasen,0,1.252762968
MUS,comtro,1,1.098612289
MUS,acasen,0,1.427124356
MUS,acager,0,1.386294361
MUS,acasen,0,0.336472237
MUS,acager,1,0.154179251
MUS,acasen,1,1.203962804
MUS,acasen,0,1.098612289
MUS,acasen,1,1.203962804
MUS,acasen,1,1.252762968
MUS,aacarob,1,1.299292075
MUS,acasen,1,0.510845624
MUS,acasen,0,1.203962804
MUS,acasen,1,1.04144211
MUS,acasen,0,1.642234187
MUS,acator,1,0.287657072
MUS,aacarob,0,2.140066163
MUS,aacarob,1,0.773205273
MUS,aacarob,0,2.140066163
MUS,aacarob,1,1.098612289
MUS,aacarob,1,0.287657072
MUS,aacarob,1,1.427124356
MUS,aacarob,1,0.980841753
MUS,acasie,1,1.203962804
MUS,acator,1,0.287657072
MUS,acator,0,2.036886275
MUS,comtro,1,1.673970184
MUS,acator,1,0.510845624
MUS,comtro,1,0.606117622
MUS,acator,1,0.980841753
MUS,acator,0,1.526056303
MUS,acasen,1,1.945910149
MUS,acator,1,0
MUS,acator,1,1.252762968
MUS,acasie,0,1.435084525
MUS,acator,1,0.916290732
MUS,acasen,1,1.343726051
MUS,acator,1,1.540452184
MUS,acator,1,0.847283575
MUS,acator,1,0
MUS,acator,1,0.916290732
MUS,acator,1,1.152690036
MUS,acator,1,0.847283575
MUS,aacarob,1,1.098612289
MUS,acasen,0,1.280933845
MUS,acasen,1,1.427124356
MUS,acasen,0,2.036886275
MUS,aacarob,1,0
MUS,acasen,0,1.223775432
MUS,aacarob,1,0.916290732
MUS,aacarob,1,0.606117622
MUS,aacarob,0,1.945910149
MUS,aacarob,1,0.773205273
MUS,aacarob,1,0.847283575
MUS,aacarob,1,0.916290732
MUS,acasen,0,2.197224577
MUS,aacarob,0,1.791759469
MUS,acasen,0,2.251291799
MUS,acasen,0,1.897124985
MUS,acasie,1,2.058383877
MUS,acasen,0,1.974081026
MUS,aacarob,0,2.178528671
MUS,aacarob,1,0.510845624
MUS,acasen,0,2.351375257
MUS,acasen,1,2.058383877
MUS,aacarob,1,1.642234187
MUS,aacarob,1,1.642234187
MUS,aacarob,1,0.510845624
MUS,aacarob,1,0.693147181
MUS,aacarob,1,0.510845624
MUS,aacarob,1,0.154179251
MUS,aacarob,1,0.980841753
MUS,aacarob,1,0.693147181
MUS,acasen,0,2.302585093
MUS,acasen,0,2.351375257
MUS,aacarob,0,1.969445298
MUS,acasen,0,1.722766598
SIM,balaeg,1,0.847283575
SIM,acator,1,0.916290732
SIM,balaeg,1,1.203962804
SIM,acator,0,1.504077397
SIM,acator,1,0.606117622
SIM,acator,0,0
SIM,balaeg,1,0
SIM,acator,1,1.704748092
SIM,balaeg,1,0.405465108
SIM,balaeg,0,1.916922612
SIM,balaeg,1,0
SIM,acator,0,0.916290732
SIM,acator,0,2.028148247
SIM,acator,1,0.980841753
SIM,balaeg,1,0.405465108
SIM,acadre,1,1.343726051
SIM,acadre,1,0
SIM,acadre,1,0
SIM,acadre,1,0
SIM,acator,0,1.178654996
SIM,acadre,1,0
SIM,acadre,1,0.773205273
SIM,acadre,1,0
SIM,acadre,1,0
SIM,acadre,1,0
SIM,acadre,0,1.791759469
SIM,acadre,0,0
SIM,acadre,1,0.405465108
SIM,acadre,1,0.606117622
SIM,balaeg,1,1.04144211
SIM,acadre,1,1.299292075
SIM,acadre,1,0.405465108
SIM,acadre,1,1.575529464
SIM,acadre,1,0.606117622
SIM,acadre,1,0.980841753
SIM,acadre,1,0.154179251
SIM,acadre,1,0.693147181
SIM,comtro,1,0
SIM,acadre,0,1.749199855
SIM,acadre,1,0
SIM,acadre,1,1.427124356
SIM,acadre,0,0
SIM,acadre,1,0
SIM,acadre,1,1.04144211
SIM,acadre,1,0
SIM,acadre,1,0
SIM,acadre,1,0.154179251
SIM,acadre,1,1.299292075
SIM,aacarob,1,0.154179251
SIM,aacarob,1,0
SIM,comtro,1,0
SIM,comtro,1,0
SIM,diccin,1,1.642234187
SIM,comtro,1,0
SIM,diccin,1,0.154179251
SIM,aacarob,1,0.847283575
SIM,diccin,1,1.763582878
SIM,comtro,1,1.152690036
SIM,aacarob,1,1.04144211
SIM,diccin,1,1.673970184
SIM,diccin,1,0.693147181
SIM,aacarob,1,1.386294361
SIM,comtro,1,0.916290732
SIM,acator,1,1.04144211
SIM,acator,0,1.568615918
SIM,acator,0,0
SIM,aacarob,1,0.287657072
SIM,aacarob,0,2.140066163
SIM,comtro,1,0
SIM,aacarob,1,1.152690036
SIM,acator,1,0.287657072
SIM,acator,1,0.287657072
SIM,acator,1,1.466329376
SIM,acator,1,0.980841753
SIM,acator,1,1.386294361
SIM,acator,1,0.154179251
SIM,aacarob,1,1.343726051
SIM,acator,0,0.693147181
SIM,acator,1,1.152690036
SIM,acator,1,0
SIM,acator,1,1.178654996
SIM,acator,1,0.287657072
TAW,acator,1,1.466329376
TAW,acator,0,0
TAW,acator,1,0.980841753
TAW,acator,0,2.140066163
TAW,acator,1,0.773205273
TAW,acator,1,0.980841753
TAW,acager,0,1.704748092
TAW,acator,1,1.673970184
TAW,acator,1,0.154179251
TAW,aacarob,1,0.773205273
TAW,aacarob,1,1.540452184
TAW,aacarob,1,1.642234187
TAW,aacarob,1,1.791759469
TAW,aacarob,1,0.287657072
TAW,aacarob,0,1.791759469
TAW,comtro,1,1.427124356
TAW,aacarob,0,1.098612289
TAW,aacarob,0,0.916290732
TAW,aacarob,0,2.351375257
TAW,aacarob,1,1.819163849
TAW,aacarob,1,0.916290732
TAW,aacarob,1,1.203962804
TAW,aacarob,1,1.098612289
TAW,aacarob,0,1.252762968
TAW,aacarob,1,0.916290732
TAW,aacarob,1,1.386294361
TAW,aacarob,1,0.847283575
TAW,aacarob,1,1.386294361
TAW,aacarob,1,1.504077397
TAW,aacarob,1,0.510845624
TAW,aacarob,1,0.847283575
TAW,aacarob,0,1.734606938
TAW,aacarob,1,1.299292075
TAW,aacarob,1,0.606117622
TAW,aacarob,1,0.405465108
TAW,aacarob,1,0.606117622
TAW,aacarob,1,1.609437912
TAW,aacarob,1,0.980841753
TAW,comtro,1,1.609437912
TAW,acator,0,0.405465108
TAW,balaeg,1,1.673970184
TAW,acator,1,0.916290732
TAW,acator,1,0.693147181
TAW,acator,1,0.916290732
TAW,balaeg,1,1.609437912
TAW,comtro,1,1.734606938
TAW,acator,1,1.734606938
TAW,comtro,1,1.871802177
TAW,comtro,1,1.343726051
TAW,comtro,1,1.540452184
TAW,acator,1,0.773205273
TAW,acator,1,0.510845624
TAW,acator,1,0.405465108
TAW,acator,1,1.252762968
TAW,acator,1,1.299292075
TAW,acator,1,0
TAW,aacarob,1,1.343726051
TAW,acator,1,0.287657072
TAW,aacarob,0,1.85629799
TAW,acator,1,1.704748092
TAW,acator,1,1.540452184
TAW,aacarob,1,1.427124356
TAW,aacarob,1,0.510845624
TAW,aacarob,1,1.504077397
TAW,aacarob,1,1.642234187
TAW,acator,1,1.343726051
TOG,aacarob,1,0.916290732
TOG,aacarob,1,0.154179251
TOG,aacarob,1,1.343726051
TOG,aacarob,1,0.916290732
TOG,aacarob,1,1.152690036
TOG,aacarob,1,1.203962804
TOG,aacarob,0,2.23358865
TOG,aacarob,1,1.466329376
TOG,aacarob,0,1.757857918
TOG,aacarob,1,1.04144211
TOG,aacarob,1,1.04144211
TOG,aacarob,1,0.847283575
TOG,aacarob,1,1.734606938
TOG,aacarob,1,1.386294361
TOG,aacarob,1,0.773205273
TOG,aacarob,1,0.606117622
TOG,aacarob,0,1.609437912
TOG,aacarob,1,0.287657072
TOG,comtro,1,1.343726051
TOG,aacarob,1,1.04144211
TOG,aacarob,1,1.152690036
TOG,aacarob,0,2.302585093
TOG,aacarob,1,0.606117622
TOG,aacarob,1,1.504077397
TOG,comtro,1,1.575529464
TOG,aacarob,1,0.980841753
TOG,aacarob,1,0.916290732
TOG,aacarob,1,0.606117622
TOG,aacarob,1,0.606117622
TOG,aacarob,1,1.252762968
TOG,aacarob,1,1.299292075
TOG,aacarob,1,0.693147181
TOG,aacarob,1,1.299292075
TOG,aacarob,1,0.606117622
TOG,aacarob,1,1.609437912
TOG,aacarob,0,1.791759469
TOG,aacarob,1,0.916290732
TOG,aacarob,1,1.343726051
TOG,aacarob,1,0.980841753
TOG,ormtri,1,0.916290732
TOG,ormtri,0,2.1102132
TOG,aacarob,1,0.606117622
TOG,aacarob,1,0.773205273
TOG,aacarob,1,1.299292075
TOG,aacarob,1,1.252762968
TOG,ormtri,1,1.098612289
TOG,ormtri,1,1.365249463
TOG,comtro,1,1.299292075
TOG,comtro,1,0.405465108
TOG,comtro,1,0.847283575
TOG,comtro,1,0
TOG,ormtri,1,0.606117622
TOG,aacarob,1,0.405465108
TOG,ormtri,1,0.980841753
TOG,aacarob,1,1.642234187
TOG,aacarob,1,0.980841753
TOG,aacarob,1,0.693147181
TOG,aacarob,1,0.287657072
TOG,aacarob,1,0.980841753
TOG,aacarob,1,0.154179251
TOG,aacarob,1,0.510845624
TOG,aacarob,1,0.847283575
TOG,comtro,1,0.405465108
TOG,comtro,1,0.847283575
TOG,comtro,1,1.575529464
TOG,comtro,1,1.299292075
TOG,aacarob,1,0.510845624
TOG,aacarob,1,1.252762968
TOG,aacarob,1,0.510845624
TOG,aacarob,0,2.130217827
TOG,aacarob,1,0.606117622
TOG,acator,1,0.405465108
TOG,aacarob,1,1.466329376
TOG,aacarob,1,1.152690036
TOG,aacarob,1,0.693147181
TOG,aacarob,1,0.510845624
TOG,aacarob,1,0.980841753
TOG,aacarob,0,1.609437912
KIT,acasen,0,1.481604541
MUS,comtro,0,1.945910149
MUS,ormtri,0,1.568615918
SIM,acator,0,1.098612289
SIM,acadre,0,1.526056303
SIM,acadre,0,1.791759469
SIM,acator,0,1.335001067
TAW,comtro,0,1.568615918
TOG,aacarob,0,2.104134154
TOG,ormtri,0,1.098612289
BIL,acager,0,1.568615918
KIT,comafr,0,0.955511445
TAW,comtro,0,0
