QuadName,trackID,year,area,survives,age,Grazing
P7 E1 Q4,57,36,792.928316209496,1,7,UG
P7 E1 Q4,57,37,1037.68642252926,1,8,UG
P7 E1 Q4,57,38,732.631837037107,1,9,UG
P7 E1 Q4,57,39,829.024154939585,1,10,UG
P7 E1 Q4,57,40,816.559346523824,1,11,UG
P7 E1 Q4,57,41,723.861563921083,1,12,UG
P7 E1 Q4,57,45,761.819637376468,1,16,UG
P7 E1 Q4,57,46,708.757340657265,1,17,UG
P7 E1 Q4,57,49,439.191222049585,1,20,UG
P7 E1 Q4,57,50,360.669323600871,1,21,UG
P7 E1 Q4,57,51,247.079035807676,1,22,UG
P7 E1 Q4,97,54,0.25,1,1,UG
P7 E1 Q4,57,54,506.827522404895,1,25,UG
P7 E1 Q4,97,55,0.5,0,2,UG
P7 E1 Q4,57,55,585.660915865548,1,26,UG
P10 E1 Q1,66,33,12.5647713310677,1,1,UG
P10 E1 Q1,66,34,6.1413789080569,1,2,UG
P10 E1 Q1,66,35,19.4614280257187,1,3,UG
P10 E1 Q1,66,36,41.8280081324546,1,4,UG
P10 E1 Q1,66,37,6.4639563322053,1,5,UG
P10 E1 Q1,66,38,16.2892826966391,1,6,UG
P10 E1 Q1,66,39,7.0568176346531,0,7,UG
P10 E1 Q2,66,32,70.1444472303746,1,1,UG
P10 E1 Q2,66,33,78.4308532621915,1,2,UG
P10 E1 Q2,66,34,20.573296713093,1,3,UG
P10 E1 Q2,66,35,34.8583512589249,1,4,UG
P10 E1 Q2,66,38,40.6276463132866,1,7,UG
P10 E1 Q2,66,41,71.2021226821316,1,10,UG
P10 E1 Q2,66,45,116.526489236082,1,14,UG
P10 E1 Q2,66,46,78.5742059746894,0,15,UG
P10 E1 Q3,148,45,0.25,0,4,UG
P10 E1 Q4,78,35,0.25,1,1,UG
P10 E1 Q4,78,36,0.25,0,2,UG
P10 E1 Q4,205,54,0.5,1,3,UG
P10 E1 Q4,247,55,0.25,0,1,UG
P10 E1 Q4,205,55,3.927516798785,0,4,UG
E1 Q3,78,32,261.312407800682,1,1,UG
E1 Q3,79,32,197.366503768264,1,1,UG
E1 Q3,79,33,52.3181601318812,0,2,UG
E1 Q3,78,33,219.639449957666,1,2,UG
E1 Q3,78,34,127.685686659069,1,3,UG
E1 Q3,78,35,185.765447711795,1,4,UG
E1 Q3,78,36,160.671914690106,1,5,UG
E1 Q3,78,37,214.493699359414,1,6,UG
E1 Q3,78,38,209.932002974854,1,7,UG
E1 Q3,78,39,191.410444059027,1,8,UG
E1 Q3,78,40,208.095296324735,1,9,UG
E1 Q3,78,41,204.633411571501,1,10,UG
E1 Q3,78,45,133.900250090322,1,14,UG
E1 Q3,78,46,92.8856627903517,0,15,UG
E1 Q3,112,54,37.1916456884286,1,1,UG
E1 Q3,112,55,34.6034711587013,1,2,UG
E1 Q4,86,32,91.5631444696592,1,1,UG
E1 Q4,86,33,74.6017113380109,1,2,UG
E1 Q4,86,34,50.706860447497,1,3,UG
E1 Q4,86,35,86.7482837014075,1,4,UG
E1 Q4,86,36,72.7292514842789,1,5,UG
E1 Q4,86,37,40.2360276522854,1,6,UG
E1 Q4,86,38,23.3040328949701,0,7,UG
E1 Q6,97,32,13.0747781618307,1,1,UG
E1 Q6,97,33,37.0770032078696,0,2,UG
E1 Q6,112,39,16.1305102526584,1,4,UG
E1 Q6,112,40,7.8405386787661,1,5,UG
E1 Q6,112,41,10.4965904252265,0,6,UG
P1 E1 Q1,112,34,0.25,0,1,UG
P1 E1 Q1,110,34,0.25,0,1,UG
P1 E1 Q1,148,40,20.796314905756,0,1,UG
P1 E1 Q2,169,45,39.316251261345,0,4,UG
