ID,Year,sex,wt,finhost,Dorm,Dorm2
2013-6-30-21-74,2013,M,0.28,T,21,21_2013
2013-6-30-25-80,2013,F,0.35,T,25,25_2013
2013-6-30-40-78,2013,M,0.16,T,40,40_2013
2013-6-30-46-75,2013,M,0.2,T,46,46_2013
2013-6-30-47-76,2013,M,0.22,P,47,47_2013
2013-6-30-48-81,2013,M,0.12,P,48,48_2013
2013-6-30-8-77,2013,M,0.14,P,8,8_2013
2013-6-30-8-82,2013,F,0.26,P,8,8_2013
2013-7-1-10-83,2013,F,0.41,T,10,10_2013
2013-7-1-24-84,2013,F,0.3,T,24,24_2013
2013-7-1-24-86,2013,F,0.34,T,24,24_2013
2013-7-1-43-85,2013,M,0.23,P,43,43_2013
2013-7-2-14-89,2013,M,0.2,T,14,14_2013
2013-7-2-24-87,2013,F,0.39,T,24,24_2013
2013-7-2-27-94,2013,F,0.35,T,27,27_2013
2013-7-2-36-91,2013,M,0.15,T,36,36_2013
2013-7-2-36-92,2013,F,0.39,T,36,36_2013
2013-7-2-40-93,2013,F,0.25,T,40,40_2013
2013-7-2-48-90,2013,F,0.28,P,48,48_2013
2013-7-3-31-96,2013,F,0.31,T,31,31_2013
2013-7-3-31-97,2013,M,0.28,T,31,31_2013
2013-7-3-31-98,2013,M,0.22,T,31,31_2013
2013-7-3-46-95,2013,M,0.16,T,46,46_2013
2013-7-6-46-99,2013,F,0.32,T,46,46_2013
