"census_tract","data_redacted","num_bll_5plus","num_screen","perc_5plus","MedianHHincome"
"42101036900","false",0,33,0,58500
"42101037200","true",NA,174,NA,55259
"42101037300","true",NA,143,NA,63113
"42101037500","false",9,98,9.2,67750
"42101037600","true",NA,153,NA,39911
"42101037700","false",13,249,5.2,22181
"42101037800","false",6,114,5.3,43696
"42101037900","true",NA,244,NA,45183
"42101038000","false",11,112,9.8,50161
"42101038100","true",NA,57,NA,25139
"42101038200","false",17,211,8.1,22327
"42101038300","false",15,262,5.7,21250
"42101038400","true",NA,82,NA,81202
"42101038500","true",NA,42,NA,90547
"42101038600","true",NA,34,NA,128056
"42101038700","true",NA,81,NA,128669
"42101038800","false",11,214,5.1,72962
"42101038900","false",9,158,5.7,39917
"42101039000","false",26,537,4.8,32119
"42101980000","false",0,7,0,71667
"42101980100","true",NA,NA,NA,56563
"42101980200","true",NA,NA,NA,96375
